year,,year,title,artist,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2000,1251,2000,Harry Truman,Mindless Self Indulgence,0BlzSeg13Xk9EQk5G3R7pv,0.765,0.0382,100.374,0.106,0.0659,0.000889,4,0.72,1,95200,-6.6579999999999995,0.6729999999999999,1
2000,1455,2000,Livin' Libido Loco,zebrahead,39PkQSU0ehJrijqUagoUD0,0.912,0.127,118.006,0.0339,0.00783,1.04e-06,4,0.6609999999999999,11,284933,-5.2,0.779,0
2000,1384,2000,Tragically Unhip,Poison,2H2pEdnKYigEeTAvHWk2dO,0.99,0.342,129.011,0.0699,0.0228,0.000819,4,0.598,1,174333,-4.0680000000000005,0.6559999999999999,1
2000,1090,2000,You Could've Had Everything,Face To Face,74BzEEZuOfBudelvRdDEdc,0.9159999999999999,0.163,157.747,0.0761,0.00043099999999999996,1.0199999999999999e-05,4,0.293,9,135600,-5.11,0.461,1
2000,1322,2000,I See A Darkness,Johnny Cash,0eg0nRL9dLBaT0X43keMBc,0.41600000000000004,0.0882,70.473,0.0329,0.795,4.94e-06,4,0.514,10,221600,-7.992000000000001,0.332,1
2000,1296,2000,If You Can Do Anything Else,George Strait,1PmJcgLwG1wRC5qMdjogRD,0.62,0.128,116.98299999999999,0.0268,0.601,0.00031800000000000003,4,0.6809999999999999,3,246667,-7.68,0.48200000000000004,1
2000,1225,2000,Abiyoyo,Mary Thienes Schunemann,5NhzSils4gEltROizZorsa,0.00614,0.114,136.468,0.0477,0.995,0.022000000000000002,3,0.318,0,88733,-19.727999999999998,0.602,1
2000,1103,2000,Carry You,Dispatch,0k5XAy0jvxUD7tfYabdh33,0.312,0.121,170.225,0.0386,0.7809999999999999,0.5329999999999999,4,0.684,2,191533,-13.727,0.547,1
2000,1265,2000,You Said Something,PJ Harvey,4m5S4wvLY031rN6beIWoRe,0.511,0.11599999999999999,151.753,0.0268,0.00372,0.0030600000000000002,3,0.53,0,199093,-7.106,0.49,1
2000,1127,2000,I Don't Wanna Spend One More Christmas Without You,Various Artists,4gN0iElPYMBkb8TtctY2MB,0.6,0.134,148.078,0.0339,0.5589999999999999,0.0,4,0.535,0,242200,-5.67,0.153,1
2000,1410,2000,My Favorite Headache,Geddy Lee,4yKWUl2WR327Ol0MNzOD5B,0.8690000000000001,0.105,125.976,0.028999999999999998,0.00042300000000000004,0.00209,4,0.542,2,283609,-5.369,0.36200000000000004,1
