spotify_id,year,title,artist,peak_pos,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
02QQXgeAghpU4smdM7l7We,2008,Spotlight,jennifer hudson,24,0.724,0.072,108.984,0.051,0.0448,0,4,0.707,11,250107,-3.887,0.659,0
02qR0Dbi6JawnhEHD3UxHq,2006,Believe,brooks,60,0.244,0.106,117.108,0.0374,0.767,3.38E-05,4,0.598,9,339569,-8.003,0.225,1
02y3FRLRlmzIpi2y8ZbN2w,2003,Don't Wanna Try,frankie j,19,0.422,0.288,130.2,0.0356,0.395,0,4,0.677,5,245063,-8.443,0.19,0
030OCtLMrljNhp8OWHBWW3,2010,Hey Daddy (Daddy's Home),usher,24,0.698,0.107,95.975,0.0286,0.000176,0,4,0.59,11,224093,-4.262,0.352,1
031dDlXJVmmxNd54hkT9p0,2004,Honesty (Write Me A List),rodney atkins,57,0.255,0.207,77.092,0.0314,0.364,0.726,4,0.603,6,252796,-12.721,0.2,1
0332p5aiaQ6vyomilcGSy4,2012,Yuck!,2 chainz,80,0.886,0.188,149.968,0.295,0.654,0.000111,4,0.642,11,287573,-4.368,0.449,0
038jgLNIvp7QQNf5vILf5d,2001,Kiss This,aaron tippin,42,0.723,0.362,116.043,0.0259,0.0487,5.88E-06,4,0.759,6,173760,-5.38,0.666,0
03ApC9qWTCFEE5Cj42ALCH,2004,Alone,lasgo,83,0.924,0.754,139.989,0.0465,0.0126,0.0197,4,0.715,8,335133,-5.966,0.653,1
03B0yrE4zrioHjmY05l9xz,2005,Make Her Feel Good,teairra mari,35,0.67,0.189,90.522,0.197,0.0163,0.000398,4,0.82,2,226013,-9.422,0.535,1
03b1NUHnoavfpLLKcEMfIb,2007,Go Getta,young jeezy,18,0.726,0.177,173.99,0.193,0.115,0,4,0.375,3,229347,-6.46,0.44,0
03fT3OHB9KyMtGMt2zwqCT,2014,Play It Again,luke bryan,14,0.898,0.071,144.056,0.0696,0.0832,0,4,0.51,11,226867,-3.15,0.596,1
03K011CpEjqCtcSAYCBqow,2010,I'm A Slave 4 U,glee cast,52,0.779,0.0398,110.022,0.136,0.409,0.000681,4,0.909,0,204053,-4.004,0.955,0
03qoFZom1iAWT5VdWFRYF6,2007,Tell Me Baby,red hot chili peppers,50,0.993,0.0814,107.951,0.0612,0.00177,0.00246,4,0.695,0,247667,-3.114,0.281,1
03teNQu8rWlFnNzF1ULXIq,2010,StarStruck,christopher wilde,77,0.78,0.0878,174.06,0.0827,0.0327,0,4,0.554,0,175027,-4.747,0.773,1
03ZtlmARAMWhAgZSIs6Fes,2010,One In A Million,ne-yo,87,0.803,0.329,100.012,0.0364,0.123,2.42E-06,4,0.762,11,243227,-5.961,0.655,1
0447V6bjlw5ERYGu3BEBnB,2007,Buddy,musiq soulchild,36,0.839,0.0942,89.942,0.271,0.0534,0,4,0.735,6,223813,-4.705,0.834,0
048fAgdSLnAbQZG1ePSUKb,2009,Roll With Me,montgomery gentry,33,0.648,0.144,142.159,0.0273,0.0533,0.00015,4,0.552,2,233933,-6.71,0.407,1
048thBsGA2IfiubeNWC0v2,2016,I'll Show You,justin bieber,19,0.615,0.193,191.541,0.0937,0.0426,1.67E-05,4,0.337,9,199973,-6.615,0.0665,0
04aweMzj1HaG9jN5mwZPtD,2008,Coconut Juice,tyga,94,0.773,0.284,84.026,0.243,0.00118,0,4,0.565,2,199413,-5.121,0.397,1
04BSvYghzdxjSJNpee36er,2011,Monster,paramore,36,0.969,0.371,164.999,0.119,2.87E-05,0.000753,4,0.413,4,200147,-2.599,0.374,0
04ccQGJ1i8gL7JoeCPiJbv,2001,Don't Happen Twice,kenny chesney,26,0.708,0.0423,158.785,0.0301,0.00626,1.15E-05,4,0.499,7,203067,-7.029,0.617,1
04cxAqa9ZgLwvEskosNVsB,2014,XO,beyonce,45,0.792,0.313,170.085,0.26,0.171,1.28E-06,4,0.47,0,215947,-8.932,0.214,1
04fR7gxIY0VVhW6wZMoHpA,2004,I Wish,jo dee messina,75,0.515,0.0802,70.136,0.03,0.388,0,4,0.389,7,213547,-6.224,0.164,1
04gTvkivzArTTMG6ykrwep,2009,Halo / Walking On Sunshine,glee cast,40,0.91,0.137,193.886,0.113,0.0679,3.38E-06,4,0.242,9,125013,-5.19,0.253,1
04NGX0b5Tgs7VsErfn5OA1,2005,Vitamin R (Leading Us Along),chevelle,68,0.88,0.204,95.023,0.0717,0.00465,6.02E-05,3,0.481,4,223173,-4.55,0.289,1
050iNgNKEUrJboOnH4Jhm6,2015,Wild Child,kenny chesney,56,0.633,0.164,148.984,0.0318,0.475,4.29E-06,4,0.586,3,189800,-7.688,0.445,1
054ue8u2erwwGNgSIZLEPq,2013,Scream & Shout,will.i.am,3,0.617,0.143,130.032,0.0535,0.0453,0.000187,4,0.782,5,284413,-7.385,0.495,1
05cXQMJcrM9msUYu11mOrs,2016,Alive,sia,56,0.752,0.102,98.88,0.056,0.289,0.000101,4,0.32,6,263893,-4.91,0.392,0
05iNNBOYgTXTorF8sbsqzZ,2001,Bia' Bia',lil jon,94,0.639,0.0281,79.999,0.138,0.00111,0,4,0.796,8,232411,-8.265,0.711,1
05KOgYg8PGeJyyWBPi5ja8,2017,Free Smoke,drake,18,0.492,0.484,141.953,0.448,0.0621,0,4,0.617,10,218674,-7.588,0.208,0
05kpDKj3MNFtZOlKkfurGG,2011,Walking,mary mary,94,0.546,0.192,100.085,0.115,0.13,0.000194,4,0.759,6,200187,-6.071,0.584,0
05ljqOaMvnkiWyJWAfjayF,2016,Say It,tory lanez,23,0.525,0.23,107.309,0.0777,0.089,3.31E-06,4,0.522,4,236893,-10.1,0.246,0
05NCQz6oqduUipGoWjpncI,2002,Where Do We Go From Here,filter,94,0.782,0.365,94.105,0.0329,0.000223,0.0117,4,0.498,7,334933,-6.213,0.189,1
05pKAafT85jeeNhZ6kq7HT,2012,I Won't Give Up,jason mraz,8,0.303,0.115,136.703,0.0398,0.694,0,3,0.585,4,240166,-10.058,0.142,1
05Rdg52eBYVUy5A55rnz39,2011,Only Prettier,miranda lambert,61,0.695,0.0698,167.968,0.0348,0.0818,0,4,0.389,8,189440,-2.4,0.778,1
05SBRd4fXgn8FX7bf8BCAE,2013,I Need Your Love,calvin harris,16,0.869,0.237,124.989,0.0483,0.41,0,4,0.695,8,234507,-5.066,0.58,1
05U9c8s9N8YUXNzGv3k4c7,2010,Lady Is A Tramp,glee cast,81,0.687,0.341,200.035,0.0531,0.159,0,4,0.326,10,166200,-3.785,0.554,0
05wbsMDvcaD56O4SnESOaJ,2005,How To Deal,frankie j,39,0.495,0.201,126.12,0.0332,0.0584,0,4,0.749,2,230507,-8.456,0.645,1
05Z7jet4VDNVgNQWcYHnrk,2017,Party,chris brown,40,0.576,0.0869,142.096,0.0829,0.0556,0,4,0.762,1,220813,-4.951,0.316,0
05ZACkzW8YbRq3eFgIfSNB,2012,Springsteen,eric church,19,0.809,0.185,104.023,0.0255,0.1,9.77E-05,4,0.692,2,263387,-5.935,0.927,1
0621F7y1cX0hJoQFIrrUaZ,2013,Did It For The Girl,greg bates,66,0.72,0.33,101.986,0.0237,0.0253,8.72E-06,4,0.66,5,190667,-5.095,0.68,1
066H3CmDCFuQU1fwsecCDc,2009,Trust,keyshia cole,70,0.629,0.0626,141.342,0.0442,0.258,0,4,0.391,3,253320,-4.687,0.546,0
067sYyLu6IdRP5bCubdSfl,2000,Rhythm Divine,enrique iglesias,32,0.969,0.185,102.035,0.166,0.135,0,4,0.634,0,209467,-2.662,0.417,1
069BiJN23l4p6DoMXS43S8,2002,Some Days You Gotta Dance,dixie chicks,55,0.905,0.0357,170.146,0.0685,0.282,0.000456,4,0.626,4,147400,-8.079,0.916,1
06EL94D0TA27Ik0Ke5usbj,2013,The Way,ariana grande,9,0.879,0.0742,82.518,0.147,0.325,0,4,0.644,5,227027,-3.179,0.83,0
06EmqZJolHpHSwNKLHVmqB,2002,Dance With Me,112,39,0.68,0.0935,101.652,0.229,0.0679,0,4,0.867,1,295227,-5.508,0.591,0
06EoiPK0mH3PHxH2BKNAJx,2012,Dancin' Away With My Heart,lady antebellum,46,0.663,0.291,140.253,0.0274,0.221,0,4,0.572,4,232973,-5.418,0.455,1
06F2OS18YE7AzxG9ZaphRh,2010,Don't Go Breaking My Heart,glee cast,50,0.802,0.2,131.854,0.0319,0.144,0,4,0.638,5,219693,-5.115,0.609,1
06FCvd7rrRcF3DdvWH5Isp,2017,Lust.,kendrick lamar,42,0.562,0.108,94.011,0.515,0.198,0,4,0.651,3,307880,-9.431,0.581,0
06G1SCVVYRSDCFGMSnDvpv,2009,Right Here (Departed),brandy,34,0.682,0.231,92.99,0.0439,0.256,0,4,0.568,8,217947,-5.781,0.366,1
06gD2ZtK3Dzc1BYqWExQJJ,2018,Broken Halos,Chris Stapleton,45,0.575,0.0566,78.341,0.0252,0.133,2.52E-06,4,0.607,8,180907,-7.066,0.504,1
06Gyf2pFDVmN5K8XAawG96,2017,No Cap,future,62,0.523,0.352,147.057,0.107,0.00108,0,4,0.8,1,144142,-6.578,0.379,1
06iMqWThw4w8fTFyccvOwr,2001,Ride Wit Me,nelly,3,0.692,0.247,101.865,0.0479,0.0668,0,4,0.854,7,291782,-6.625,0.753,1
06iQLLK93Dlv7RcvzmZo2g,2000,Deep Inside Of You,third eye blind,69,0.591,0.0725,81.782,0.0242,0.00585,1.90E-05,4,0.502,7,250533,-4.522,0.169,1
06KyNuuMOX1ROXRhj787tj,2016,We Don't Talk Anymore,charlie puth,9,0.563,0.179,100.017,0.134,0.621,0,4,0.728,1,217707,-8.053,0.352,0
06T10fEzN8ZCcqzQZYA184,2009,Gotta Be Somebody,nickelback,10,0.89,0.133,115.998,0.0601,0.000354,0.00165,4,0.536,0,252653,-5.222,0.205,1
06ySRvEnrUxZZ9ml3VO2TY,2005,You're My Better Half,keith urban,33,0.747,0.0449,118.054,0.0333,0.0369,1.29E-06,4,0.655,4,239400,-4.41,0.613,1
06z57mKeK6jgiT5RlGSA7B,2011,No BS,chris brown,62,0.552,0.171,172.072,0.0685,0.202,6.29E-05,4,0.431,1,247013,-8.035,0.106,0
06ZDLodo1UDVavc3MXREZ3,2004,Walked Outta Heaven,jagged edge,6,0.616,0.0535,120.129,0.225,0.573,0,4,0.67,10,270880,-6.123,0.523,1
