spotify_id,year,title,artist,peak_pos,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
019vRgocJbnjPKyEqm7tPp,2016,Anticipation,Direct,0,0,0.542,0.741,134.956,0.0884,0.152,0.863,4,0.759,5,248987,-13.087,0.0382,0
01ACsk2knUnsfWeZp63nqa,2005,Do Somethin',britney spears,100,1,0.935,0.37,129.943,0.0671,0.0278,3.59E-05,4,0.845,4,204493,-3.262,0.962,1
01BlGnXpLuC0BjgUxVYZFb,2010,Never Let You Go,justin bieber,21,1,0.8,0.251,103.166,0.038,0.00212,0,4,0.662,0,264400,-4.775,0.649,1
01bMpqmvH031R417l3AQTA,2008,Another Way to Die,jack white,81,1,0.736,0.109,142.064,0.116,0.0401,6.59E-05,4,0.517,4,263773,-5.175,0.447,0
01bV8btZEvmc9cFmv2UX8q,2000,Out of the Silent Planet - 2015 Remaster,Iron Maiden,0,0,0.932,0.225,155.107,0.153,0.00936,0.000327,4,0.209,4,385653,-5.117,0.335,0
01C5aCltIDncPqMjWDcx2L,2005,So What The Fuss,Stevie Wonder,0,0,0.763,0.314,87.922,0.164,0.218,0,4,0.83,10,304293,-3.826,0.924,0
01CnYyPXMFRzOFVQBU8WMb,2003,This One's For The Girls,martina mcbride,39,1,0.801,0.124,126.966,0.0354,0.0626,1.15E-05,4,0.613,8,243160,-4.431,0.609,1
01cQPNCptd662nikuY42zw,2006,Have You Seen Her,The Chi-Lites,0,0,0.413,0.145,139.491,0.0348,0.602,4.88E-06,4,0.621,4,310747,-12.274,0.338,1
01CqXno5gFdZEQqhAPp3eq,2000,Lord I Lift Your Name On High,Donnie McClurkin,0,0,0.709,0.386,132.132,0.033,0.223,0,4,0.565,1,246533,-5.475,0.309,1
01DSvNTUsVROjnSF5j3UbD,2013,Try,p!nk,9,1,0.629,0.0944,103.998,0.0299,0.00141,0,4,0.673,2,247907,-7.072,0.551,1
01fheGkUVGV51pxqpJGRKV,2003,"Oh, Mother How Pretty the Moon Is Tonight",Baby Sleep Ensemble,0,0,0.0291,0.111,80.977,0.0475,0.989,0.766,4,0.461,1,310378,-21.285,0.217,1
01fL0TINslnHzUa9dfQr8g,2014,If You Wanna Stay,The Griswolds,0,0,0.947,0.104,116.532,0.0407,0.000469,0.000895,4,0.546,5,159853,-3.923,0.216,1
01foyVst5pSM1IZuck0ziu,2001,Too Much Between Us,George Winston,0,0,0.00556,0.141,73.967,0.0649,0.983,0.874,4,0.637,4,338120,-25.197,0.284,0
01GYggMhHnNCgy25hrMJla,2008,No matter who You are,TETRA-FANG,0,0,0.925,0.142,165.052,0.0728,0.000957,0,4,0.409,0,308680,-4.462,0.539,1
01hJnhpAmjzg85Etnz2ECH,2011,Body And Soul,tony bennett,87,1,0.249,0.152,94.746,0.0277,0.87,5.09E-05,3,0.342,1,200587,-11.812,0.203,1
01jHMtu5U5spPJ3sWtoaYq,2011,Xeneizes,Quarashi,0,0,0.819,0.29,103.021,0.0371,0.00543,0.000113,4,0.719,1,187153,-6.553,0.609,1
01jlZ4UvMwJ0hPOZLsD1VO,2004,How Far,martina mcbride,68,1,0.627,0.103,140.104,0.03,0.339,0,4,0.473,6,235267,-4.836,0.359,1
01lfQUOg0NmVj5MKjJk7aO,2006,I Did It For You,Lecrae,0,0,0.567,0.347,99.986,0.101,0.199,0,4,0.724,7,294441,-10.289,0.491,1
01Lo0VRlKSfiPWLHdu2o5t,2013,Eleanor Lye,Young Ejecta,0,0,0.654,0.0893,114.489,0.0312,0.772,0.864,4,0.535,4,277341,-9.762,0.255,1
01luPttnloOOQjyD9W7XTw,2010,Raise The Noise,Helloween,0,0,0.944,0.298,99.934,0.0791,1.79E-05,0.0133,4,0.453,4,307040,-6.672,0.132,0
01MBhRpvFkbeRwAp7gcF2W,2005,E-Pro,beck,65,1,0.948,0.0827,95.785,0.0978,0.00182,0.151,4,0.622,9,202360,-6.169,0.665,1
01oiMw6z1XkKnlrXO9eQcR,2016,User Friendly,SwizZz,0,0,0.839,0.123,98.053,0.241,0.0901,5.24E-06,4,0.752,0,457959,-3.96,0.365,1
01oPNCtTniFT3YM4K3ksTf,2011,Opposite Of Adults,chiddy bang,90,1,0.899,0.327,95.999,0.193,0.011,0,4,0.674,9,191600,-5.115,0.604,1
