,neighbors,weights,algorithm,accuracy
10,25,uniform,brute,60.66
8,25,uniform,ball_tree,60.66
11,25,uniform,auto,60.66
3,20,uniform,auto,60.4
2,20,uniform,brute,60.4
1,20,uniform,kd_tree,60.4
0,20,uniform,ball_tree,60.4
18,30,uniform,brute,60.33
19,30,uniform,auto,60.33
16,30,uniform,ball_tree,60.33
17,30,uniform,kd_tree,60.33
12,25,distance,ball_tree,60.26
13,25,distance,kd_tree,60.26
15,25,distance,auto,60.26
14,25,distance,brute,60.26
20,30,distance,ball_tree,60.15
21,30,distance,kd_tree,60.15
22,30,distance,brute,60.15
23,30,distance,auto,60.15
6,20,distance,brute,60.04
5,20,distance,kd_tree,60.04
4,20,distance,ball_tree,60.04
7,20,distance,auto,60.04
192,1000,uniform,ball_tree,59.85
193,1000,uniform,kd_tree,59.85
194,1000,uniform,brute,59.85
195,1000,uniform,auto,59.85
