,estimator,accuracy
0,1000,69.36
1,1000,70.53
2,1000,70.42
3,1000,70.78
4,1000,70.78
5,1000,71.04
6,1000,71.07
7,1000,71.55
8,1000,71.84
9,1000,71.29
10,1000,70.53
11,1000,71.55
12,1000,71.44
13,1000,71.04
14,1000,71.33
15,1000,71.62
16,1000,71.29
17,1000,71.69
18,1000,71.58
19,1000,71.44
20,1000,71.73
21,1000,71.62
22,1000,71.91
23,1000,71.29
24,1000,71.44
25,1000,71.84
26,1000,71.73
27,1000,71.48
28,1000,71.73
