year,title,artist,peak_pos,last_pos,weeks,rank,change,spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2012,I Can Only Imagine,david guetta,44,78,14,86,-8,3dvynJHFt37j6R8CIIEZh5,0.935,0.412,127.952,0.0435,0.0553,0,4,0.67,9,209539,-2.038,0.248,1
2004,I Can Only Imagine,mercyme,71,96,18,96,0,0lVYRIVjK77Z6uG2GgM8Kl,0.612,0.0914,159.527,0.0496,0.0909,0,4,0.407,4,248253,-5.359,0.133,1
2013,I Can Take It From There,chris young,63,67,12,83,-16,4elsQHzndSMtjrsbcwnZgf,0.816,0.252,113.939,0.0318,0.155,0,4,0.686,3,158293,-5.953,0.871,1
2009,I Can Transform Ya,chris brown,20,22,19,20,2,3bwFltk2RfUWEih5mlyG6C,0.974,0.143,111.619,0.103,0.0502,0,5,0.765,5,229307,-2.402,0.83,1
2011,I Can't Go For That / You Make My Dreams,glee cast,80,0,1,80,New,5JBa94s53RNVoHnjxwyrSF,0.836,0.0958,184.04,0.0789,0.0264,0,4,0.637,2,161320,-3.941,0.898,1
2006,I Can't Hate You Anymore,nick lachey,87,94,6,95,-1,6Gj3oHBAFYHlcLBHOXZ3oz,0.685,0.0848,143.905,0.0318,0.0838,0,4,0.443,4,232640,-6.325,0.179,1
2011,I Can't Love You Back,easton corbin,76,80,11,79,1,7tK1fO2PVs80OnVB1RSa89,0.448,0.133,134.018,0.0296,0.327,2.91E-05,4,0.567,11,245187,-10.904,0.101,1
2014,I Can't Make You Love Me,josh kaufman,71,0,1,71,New,69uJi5QsBtqlYkGURTBli8,0.149,0.236,124.689,0.0319,0.846,9.65E-05,4,0.588,7,332960,-16.728,0.113,0
2004,I Can't Sleep,clay walker,61,74,7,94,-20,4giqlsLbPiBiiOtFCd35rf,0.651,0.0612,160.925,0.0369,0.203,0,4,0.357,2,242133,-7.022,0.33,1
2005,I Can't Stop Loving You,kem,84,96,14,97,-1,6iWs0J0CnadMMbxLQtZrCG,0.297,0.125,141.171,0.0459,0.72,3.35E-06,4,0.7,3,323920,-9.99,0.143,0
2003,I Can't Take You Anywhere,scotty emerick,91,93,6,98,-5,7xeOspXk9qgSvorRl4LX5p,0.695,0.0635,108.981,0.0295,0.489,0,4,0.731,5,196960,-5.105,0.914,1
2013,I Can't Tell You Why,the swon brothers,99,0,1,99,New,2faXZWArAmr7tpXTcLwyAM,0.346,0.1,85.094,0.0251,0.69,0.145,4,0.707,11,295050,-12.397,0.49,0
